Score,What's your last semester's GPA?,What's your group number?,0.9565???0.1155=,78 ?? (4x)= 24 - 1.1 ?? 10,"3.4???2(x???1.2???= 0.6
x = ? (just type the answer)",25*26*8,"As shown in Figure 2, there are exactly ________ the same shape as the crescent moon in Figure 1.",There are 49 dogs signed up for a dog show. There are 36 more small dogs than large dogs. How many small dogs have signed up to compete? (number can with decimal),
5-Mar,3.38,1,1.072,,0.2,5200,,,
5-Apr,4,1,1.072,,0.2,5200,7,,
5-Apr,3.8,1,1.072,,0.2,5200,7,,
5-Apr,3.8,3,1.072,,0.2,5200,7,8,
5-Mar,3.5,2,1.172,,0.2,5200,7,,
5-Apr,4,1,1.072,,0.2,5200,7,,
5-Mar,3.9,3,1.072,,0.2,10400,7,,
5-Mar,4,3,1.172,,0.2,5200,9,42.5,
5-May,4,1,1.072,,0.2,5200,7,42.5,
5-Apr,3.15,1,1.072,,0.2,5200,7,,
5-Apr,3.59,3,1.072,,0.2,5200,7,,
5-Jan,3.1,2,1.072,,0.02,13200,8,,
5-Feb,3.3,2,1.072,,0.4,52000,7,6.5,
5-Mar,3.76,3,1.072,,0.2,5400,7,,
5-Feb,3.26,1,1.072,,-0.2,520,7,6.5,
5-Jan,3.26,3,1.072,,-2.6,53520,,,
5-Apr,3,3,1.072,,0.2,5200,7,85,
5-Feb,3.3,3,1.072,,0.2,,,,
5-Feb,3.5,3,1.072,,0.2,1128,5,37,
5-Jan,2.5,3,1.072,,1.3,5380,3,,
5-Feb,2.75,1,1.071,,0.2,6000,7,,
5-Mar,2.98,2,1.0725,,0.2,5200,7,,
5-Apr,3.8,1,1.072,,0.2,5200,7,,
5-Apr,3.75,1,1.072,,0.3,5200,7,42.5,
5-Mar,3.1,2,1.072,,0.2,5200,6,43,
5-Mar,3.4,2,1.085,,0.21,5200,7,42.5,
5-Mar,3.1,2,1.072,,0.2,5200,,,
5-Feb,4,3,1.072,,0.2,80000,6,49,
5-Feb,3.43,1,1.072,,-0.2,5200,6,,
5-Feb,3.4,3,1.072,,0.2,2500,6,0.4,
5-May,3.5,1,1.072,,0.2,5200,7,42.5,
5-Mar,2.92,3,1.072,,0.2,5200,6,,
5-May,3.3,1,1.072,,0.2,5200,7,42.5,
5-Jan,2.8,3,1.072,,1,9000,8,78,
5-Apr,3.54,1,1.072,,0.2,5200,7,,
5-Feb,2.75,3,1.073,,0.2,2333,7,188888888,
0 / 5,3.33,3,2,,2,2,2,2,
5-Feb,2.5,3,1.07,,0.2,5200,8,40.5,
5-May,3.9,1,1.072,,0.2,5200,7,42.5,
5-Apr,3.76,2,1.072,,0.2,5200,7,,
5-Apr,3.32,1,1.072,,0.2,5200,7,2,
5-Mar,3.67,2,1.072,,-0.2,5200,7,40,
5-May,3.72,2,1.072,,0.2,5200,7,42.5,
5-Feb,3.8,3,1.072,,0.2,520,6,,
5-Apr,3.56,2,1.072,,0.2,5300,7,42.5,
5-Jan,2.1,3,1.072,,,,,,
5-May,3.8,1,1.072,,0.2,5200,7,42.5,
5-Feb,3.02,3,1.072,,-0.2,52000,7,43.5,
5-Feb,3.78,3,1.072,,0.2,8000,5,42,
5-Apr,3.5,1,1.072,,0.2,5200,7,,
5-Mar,3.7,2,1.022,,0.2,5200,7,,
5-Feb,3.1,3,0.072,,0.2,5200,8,,
5-Feb,3.9,3,0.97,,0.02,5200,7,,
5-Apr,3.4,1,1.072,,0.2,5200,7,,
